"company_name","portfolio_id","user_id","share_holder_id","company_id","sector_id","company_type_id","sebon_commission","broker_commission","DP_charge","capital_gain","type","quantity","quantity_left","actual_price","date","price","is_WACC","WACC_price","wacc_quantity","portfolio_category_id","created_by","created_date","ticker","balance","exclude_commission","sell_capital_gain","transaction_type","WACC_price1"
"Unilever Nepal Limited","15","295","300","78","8","3","62.02","1529.73","25",NULL,"Buy","20",NULL,"413440","2023-02-15","20672",NULL,"19244.30065","50","6","1","2023-07-08 21:45:05",NULL,NULL,NULL,NULL,"Secondary","19244.30065"
"Unilever Nepal Limited","16","295","300","78","8","3","31.01","764.94",NULL,NULL,"Buy","10",NULL,"206740","2023-02-15","20674",NULL,"19495.849691667","60","6","1","2023-07-08 21:45:05",NULL,NULL,NULL,NULL,"Secondary","19495.849691667"
"Unilever Nepal Limited","17","295","300","78","8","3","31.01","764.94",NULL,NULL,"Buy","10",NULL,"206740","2023-02-15","20674",NULL,"19675.527578572","70","6","1","2023-07-08 21:45:05",NULL,NULL,NULL,NULL,"Secondary","19675.527578572"
"Nepal Investment Mega Bank Limited","18","295","300","403","1","3",NULL,NULL,NULL,NULL,"Buy","2020",NULL,"0","2023-02-17","0",NULL,"253.6517960396","2020","6","1","2023-07-08 21:45:05",NULL,NULL,NULL,NULL,"Merger","249.54288514852"
"Shikhar Insurance Co. Ltd.","19","295","300","66","7","3",NULL,NULL,NULL,NULL,"Buy","49",NULL,"4900","2023-03-27","100",NULL,"716.56718802228","359","6","1","2023-07-08 21:45:05",NULL,NULL,NULL,NULL,"Bonus","702.91816295264"
"Shikhar Insurance Co. Ltd.","20","295","300","66","7","3","24.10","594.47",NULL,"84.35","Sell","221",NULL,"160667","2023-03-27","727",NULL,"716.56718802228","138","6","1","2023-07-08 21:45:05",NULL,NULL,NULL,NULL,"Secondary","702.91816295264"
"Shikhar Insurance Co. Ltd.","21","295","300","66","7","3","9.71","239.40",NULL,"33.97","Sell","89",NULL,"64703","2023-03-27","727",NULL,"716.56718802228","49","6","1","2023-07-08 21:45:05",NULL,NULL,NULL,NULL,"Secondary","702.91816295264"
"Shikhar Insurance Co. Ltd.","22","295","300","66","7","3",NULL,NULL,NULL,NULL,"Buy","1",NULL,"100","2023-03-30","100",NULL,"704.23584426183","50","6","1","2023-07-08 21:45:05",NULL,NULL,NULL,NULL,"Bonus","688.85979969359"
"Shikhar Insurance Co. Ltd.","23","295","300","66","7","3","5.40","144.00","25","30.69","Sell","50",NULL,"36000","2023-04-03","720",NULL,"704.23584426183","0","6","1","2023-07-08 21:45:05",NULL,NULL,NULL,NULL,"Secondary","688.85979969359"
"Bottlers Nepal (Terai) Limited","24","295","300","74","8","3","53.95","1330.89","25",NULL,"Buy","30",NULL,"359700","2023-04-10","11990",NULL,"12036.994833333","30","6","1","2023-07-08 21:45:05",NULL,NULL,NULL,NULL,"Secondary","12036.994833333"
"SHIVAM CEMENTS LTD","25","295","300","87","8","3","37.64","928.40","25",NULL,"Buy","615",NULL,"250920","2023-04-12","408",NULL,"409.6114504065","615","6","1","2023-07-08 21:45:05",NULL,NULL,NULL,NULL,"Secondary","409.6114504065"
"Nepal Investment Mega Bank Limited","26","295","300","403","1","3",NULL,NULL,NULL,NULL,"Buy","2021",NULL,"0","2023-04-13","0",NULL,"253.52628797625","2021","6","1","2023-07-08 21:45:05",NULL,NULL,NULL,NULL,"Merger","249.41941019298"
"Standard Chartered Bank Limited","27","295","300","315","1","3","2.35","62.76","25",NULL,"Buy","30",NULL,"15690","2023-04-13","523",NULL,"526.00378333333","30","6","1","2023-07-08 21:45:05",NULL,NULL,NULL,NULL,"Secondary","526.00378333333"
"Standard Chartered Bank Limited","28","295","300","315","1","3","23.54","580.53",NULL,NULL,"Buy","300",NULL,"156900","2023-04-13","523",NULL,"525.10357121212","330","6","1","2023-07-08 21:45:05",NULL,NULL,NULL,NULL,"Secondary","525.10357121212"
"Standard Chartered Bank Limited","29","295","300","315","1","3","1.57","41.84",NULL,NULL,"Buy","20",NULL,"10460","2023-04-13","523",NULL,"525.10739285714","350","6","1","2023-07-08 21:45:05",NULL,NULL,NULL,NULL,"Secondary","525.10739285714"
"Standard Chartered Bank Limited","30","295","300","315","1","3","10.20","251.56",NULL,NULL,"Buy","130",NULL,"67990","2023-04-13","523",NULL,"525.08197708333","480","6","1","2023-07-08 21:45:05",NULL,NULL,NULL,NULL,"Secondary","525.08197708333"
